date,005930.KS
2022-10-04,51380.37109375
2022-10-05,52125.0078125
2022-10-06,52404.25
2022-10-07,52311.17578125
2022-10-11,51566.53125
2022-10-12,51938.85546875
2022-10-13,51380.37109375
2022-10-14,52404.25
2022-10-17,52683.4921875
2022-10-18,52590.4140625
2022-10-19,51938.85546875
2022-10-20,51659.60546875
2022-10-21,52031.92578125
2022-10-24,53521.21875
2022-10-25,53707.38671875
2022-10-26,55289.7421875
2022-10-27,55382.83203125
2022-10-28,53335.05859375
2022-10-31,55289.7421875
2022-11-01,55848.234375
2022-11-02,55475.90625
2022-11-03,55103.59375
2022-11-04,55289.7421875
2022-11-07,56034.390625
2022-11-08,57523.6796875
2022-11-09,57709.8359375
2022-11-10,56220.55078125
2022-11-11,58547.5625
2022-11-14,57616.75390625
2022-11-15,58082.1640625
2022-11-16,58361.3984375
2022-11-17,57151.35546875
2022-11-18,57523.6796875
2022-11-21,57151.35546875
2022-11-22,56406.71484375
2022-11-23,56779.02734375
2022-11-24,57151.35546875
2022-11-25,56779.02734375
2022-11-28,55941.31640625
2022-11-29,56406.71484375
2022-11-30,57896.0
2022-12-01,58268.3203125
2022-12-02,56220.55078125
2022-12-05,56127.47265625
2022-12-06,55103.59375
2022-12-07,54824.34765625
2022-12-08,55103.59375
2022-12-09,56220.55078125
2022-12-12,55382.83203125
2022-12-13,55568.9921875
2022-12-14,56313.62890625
2022-12-15,55196.671875
2022-12-16,55382.83203125
2022-12-19,55382.83203125
2022-12-20,54545.109375
2022-12-21,53986.625
2022-12-22,55010.50390625
2022-12-23,54079.7109375
2022-12-26,53893.54296875
2022-12-27,54079.7109375
2022-12-28,53012.88671875
2022-12-29,51795.28125
2023-01-02,51982.6015625
2023-01-03,51888.93359375
2023-01-04,54136.83984375
2023-01-05,54511.48828125
2023-01-06,55260.7890625
2023-01-09,56853.04296875
2023-01-10,56572.0625
2023-01-11,56665.71875
2023-01-12,56665.71875
2023-01-13,56946.7109375
2023-01-16,57227.69921875
2023-01-17,57134.02734375
2023-01-18,56572.0625
2023-01-19,57602.33984375
2023-01-20,57883.3359375
2023-01-25,59288.2734375
2023-01-26,59756.58203125
2023-01-27,60505.87890625
2023-01-30,59288.2734375
2023-01-31,57508.6875
2023-02-01,57134.02734375
2023-02-02,59475.59375
2023-02-03,59475.59375
2023-02-06,57696.01171875
2023-02-07,58070.65234375
2023-02-08,59100.9375
2023-02-09,59288.2734375
2023-02-10,58913.6171875
2023-02-13,58913.6171875
2023-02-14,59194.6015625
2023-02-15,58257.97265625
2023-02-16,59662.91015625
2023-02-17,58632.625
2023-02-20,58726.296875
2023-02-21,58164.3125
2023-02-22,57227.69921875
2023-02-23,58070.65234375
2023-02-24,57415.0234375
2023-02-27,56665.71875
2023-02-28,56759.390625
2023-03-02,56946.7109375
2023-03-03,56665.71875
2023-03-06,57602.33984375
2023-03-07,56853.04296875
2023-03-08,56478.39453125
2023-03-09,56291.0703125
2023-03-10,55729.1015625
2023-03-13,56197.4140625
2023-03-14,55260.7890625
2023-03-15,56010.08984375
2023-03-16,56103.7421875
2023-03-17,57415.0234375
2023-03-20,56384.734375
2023-03-21,56478.39453125
2023-03-22,57227.69921875
2023-03-23,58351.640625
2023-03-24,59007.28515625
2023-03-27,58164.3125
2023-03-28,58913.6171875
2023-03-29,58726.296875
2023-03-30,59537.3984375
2023-03-31,60291.02734375
2023-04-03,59443.19140625
2023-04-04,59914.21484375
2023-04-05,60196.82421875
2023-04-06,58689.55078125
2023-04-07,61233.078125
2023-04-10,61892.51171875
2023-04-11,62080.9296875
2023-04-12,62175.12890625
2023-04-13,62269.33203125
2023-04-14,61327.28515625
2023-04-17,61515.6953125
2023-04-18,61798.30859375
2023-04-19,61704.10546875
2023-04-20,61515.6953125
2023-04-21,61892.51171875
2023-04-24,61421.48828125
2023-04-25,59914.21484375
2023-04-26,60385.23828125
2023-04-27,60856.265625
2023-04-28,61704.10546875
2023-05-02,61892.51171875
2023-05-03,61609.90234375
2023-05-04,61327.28515625
2023-05-08,62080.9296875
2023-05-09,61515.6953125
2023-05-10,60856.265625
2023-05-11,60479.44921875
2023-05-12,60385.23828125
2023-05-15,60762.05859375
2023-05-16,61609.90234375
2023-05-17,61233.078125
2023-05-18,62363.53515625
2023-05-19,64436.0390625
2023-05-22,64530.25
2023-05-23,64436.0390625
2023-05-24,64530.25
2023-05-25,64812.86328125
2023-05-26,66225.9296875
2023-05-30,68110.0234375
2023-05-31,67262.1875
2023-06-01,66791.171875
2023-06-02,68015.8203125
2023-06-05,67544.796875
2023-06-07,66885.3671875
2023-06-08,66791.171875
2023-06-09,67827.4140625
2023-06-12,66885.3671875
2023-06-13,67827.4140625
2023-06-14,67733.2109375
2023-06-15,67356.3828125
2023-06-16,67639.0
2023-06-19,67073.765625
2023-06-20,67262.1875
2023-06-21,66414.34375
2023-06-22,67167.96875
2023-06-23,67450.59375
2023-06-26,68204.234375
2023-06-27,68392.6328125
2023-06-28,68486.84375
2023-06-29,68544.59375
2023-06-30,68355.25
2023-07-03,69112.640625
2023-07-04,69112.640625
2023-07-05,68165.890625
2023-07-06,67787.203125
2023-07-07,66177.71875
2023-07-10,65799.03125
2023-07-11,67692.5234375
2023-07-12,68071.2109375
2023-07-13,68071.2109375
2023-07-14,69491.3359375
2023-07-17,69396.671875
2023-07-18,68165.890625
2023-07-19,67881.8828125
2023-07-20,67219.1484375
2023-07-21,66556.4375
2023-07-24,66651.109375
2023-07-25,66272.3984375
2023-07-26,66083.046875
2023-07-27,67881.8828125
2023-07-28,66840.4453125
2023-07-31,66083.046875
2023-08-01,67313.8203125
2023-08-02,66177.71875
2023-08-03,65136.30859375
2023-08-04,64662.94140625
2023-08-07,64852.27734375
2023-08-08,64000.203125
2023-08-09,65230.98046875
2023-08-10,64378.90625
2023-08-11,63905.52734375
2023-08-14,63716.171875
2023-08-16,63432.15234375
2023-08-17,63148.13671875
2023-08-18,62769.43359375
2023-08-21,63053.45703125
2023-08-22,63053.45703125
2023-08-23,63526.8359375
2023-08-24,64568.25
2023-08-25,63526.8359375
2023-08-28,63242.79296875
2023-08-29,63242.79296875
2023-08-30,63526.8359375
2023-08-31,63337.48046875
2023-09-01,67219.1484375
2023-09-04,67408.4921875
2023-09-05,66935.1015625
2023-09-06,66272.3984375
2023-09-07,66651.109375
2023-09-08,66556.4375
2023-09-11,67029.796875
2023-09-12,66745.7734375
2023-09-13,67124.4765625
2023-09-14,67881.8828125
2023-09-15,68165.890625
2023-09-18,66461.75
2023-09-19,66083.046875
2023-09-20,65893.7109375
2023-09-21,65230.98046875
2023-09-22,65136.30859375
2023-09-25,65704.3359375
2023-09-26,65286.55078125
2023-09-27,65096.2109375
2023-10-04,64239.69140625
2023-10-05,63478.3359375
2023-10-06,62812.1484375
2023-10-10,63192.8203125
2023-10-11,64905.87890625
2023-10-12,65572.078125
2023-10-13,64715.54296875
2023-10-16,64049.34375
2023-10-17,66047.921875
2023-10-18,67094.78125
2023-10-19,66143.0859375
2023-10-20,65476.8984375
2023-10-23,65096.2109375
2023-10-24,65191.39453125
2023-10-25,64715.54296875
2023-10-26,63478.3359375
2023-10-27,64049.34375
2023-10-30,64049.34375
2023-10-31,63668.671875
2023-11-01,65286.55078125
2023-11-02,66333.421875
2023-11-03,66238.2578125
2023-11-06,67475.46875
2023-11-07,67475.46875
2023-11-08,66523.765625
2023-11-09,66904.4453125
2023-11-10,67094.78125
2023-11-13,66999.625
2023-11-14,67380.296875
2023-11-15,68712.6796875
2023-11-16,69283.6875
2023-11-17,68998.1796875
2023-11-20,69188.5234375
2023-11-21,69283.6875
2023-11-22,69283.6875
2023-11-23,68903.015625
2023-11-24,68236.828125
2023-11-27,67856.1328125
2023-11-28,69188.5234375
2023-11-29,69188.5234375
2023-11-30,69283.6875
2023-12-01,68522.3359375
2023-12-04,69093.3515625
2023-12-05,67760.9765625
2023-12-06,68236.828125
2023-12-07,68046.484375
2023-12-08,69093.3515625
2023-12-11,69474.03125
2023-12-12,69949.8828125
2023-12-13,69283.6875
2023-12-14,69569.203125
2023-12-15,69759.5390625
2023-12-18,69378.859375
2023-12-19,69854.7109375
2023-12-20,71187.09375
2023-12-21,71377.4296875
2023-12-22,72233.9765625
2023-12-26,72900.1484375
2023-12-27,74584.015625
2023-12-28,75062.1328125
2024-01-02,76113.953125
2024-01-03,73627.8125
2024-01-04,73245.3515625
2024-01-05,73245.3515625
2024-01-08,73149.734375
2024-01-09,71428.546875
2024-01-10,70376.7265625
2024-01-11,69994.234375
2024-01-12,69898.625
2024-01-15,70663.6015625
2024-01-16,69420.515625
2024-01-17,67890.578125
2024-01-18,68559.9375
2024-01-19,71428.546875
2024-01-22,71811.03125
2024-01-23,71906.6484375
2024-01-24,70759.2109375
2024-01-25,70854.8203125
2024-01-26,70185.484375
2024-01-29,71141.6875
2024-01-30,71046.0546875
2024-01-31,69516.15625
2024-02-01,70376.7265625
2024-02-02,71906.6484375
2024-02-05,71046.0546875
2024-02-06,71141.6875
2024-02-07,71715.40625
2024-02-08,70854.8203125
2024-02-13,71906.6484375
2024-02-14,70759.2109375
2024-02-15,69994.234375
2024-02-16,69611.75
2024-02-19,70567.9609375
2024-02-20,70089.8671875
2024-02-21,69803.0
2024-02-22,69898.625
2024-02-23,69707.3828125
2024-02-26,69611.75
2024-02-27,69707.3828125
2024-02-28,69994.234375
2024-02-29,70185.484375
2024-03-04,71619.7890625
2024-03-05,70472.34375
2024-03-06,69707.3828125
2024-03-07,69038.0390625
2024-03-08,70089.8671875
2024-03-11,69229.28125
2024-03-12,70089.8671875
2024-03-13,70854.8203125
2024-03-14,71046.0546875
2024-03-15,69133.65625
2024-03-18,69611.75
2024-03-19,69611.75
2024-03-20,73532.2109375
2024-03-21,75827.1015625
2024-03-22,75444.6171875
2024-03-25,74775.265625
2024-03-26,76400.828125
2024-03-27,76305.203125
2024-03-28,77612.515625
2024-03-29,79149.390625
2024-04-01,78765.171875
2024-04-02,81646.8203125
2024-04-03,80782.3203125
2024-04-04,81934.9921875
2024-04-05,81166.546875
2024-04-08,81166.546875
2024-04-09,80302.0546875
2024-04-11,80782.3203125
2024-04-12,80398.109375
2024-04-15,78957.28125
2024-04-16,76844.0703125
2024-04-17,75787.4609375
2024-04-18,76459.84375
2024-04-19,74538.7421875
2024-04-22,73097.9296875
2024-04-23,72521.6015625
2024-04-24,75499.2890625
2024-04-25,73290.0390625
2024-04-26,73674.25
2024-04-29,73674.25
2024-04-30,74442.6953125
2024-05-02,74922.953125
2024-05-03,74538.7421875
2024-05-07,78092.78125
2024-05-08,78092.78125
2024-05-09,76555.9140625
2024-05-10,76075.625
2024-05-13,75307.1875
2024-05-14,75211.1328125
2024-05-16,75115.078125
2024-05-17,74346.6328125
2024-05-20,75787.4609375
2024-05-21,75307.1875
2024-05-22,74634.8046875
2024-05-23,75211.1328125
2024-05-24,72905.8125
2024-05-27,74154.5234375
2024-05-28,74538.7421875
2024-05-29,72233.4296875
2024-05-30,70600.484375
2024-05-31,70600.484375
2024-06-03,72713.703125
2024-06-04,72329.4765625
2024-06-05,74346.6328125
2024-06-07,74250.578125
